      # name ref Mv logRe logM* logSigma_e
      N0315  1 -24.6  4.486 12.432  2.662
      N0584  1 -22.6  3.724 11.535  3.289
      N0636  1 -21.6  3.562 11.088  3.166
      N0720  1 -22.6  3.840 11.608  3.130
      N0777  1 -23.6  4.134 12.012  2.946
      N0821  1 -22.3  3.922 11.390  2.748
      N1052  1 -22.0  3.723 11.388  3.144
      N1395  1 -22.5  3.836 11.527  3.057
      N1399  1 -22.5  3.737 11.588  3.316
      N1404  1 -22.2  3.537 11.411  3.539
      N1407  1 -22.9  4.041 11.728  2.848
      N1549  1 -21.8  3.658 11.234  3.120
      N1600  1 -24.1  4.360 12.195  2.677
      N1700  1 -23.2  3.735 11.740  3.472
      N2300  1 -22.6  3.905 11.685  3.077
      N2974  1 -22.2  3.795 11.464  3.076
      N3091  1 -23.0  4.003 11.743  2.939
      N3557  1 -23.5  4.001 11.943  3.143
      N3607  1 -22.0  3.816 11.315  2.885
      N3610  1 -22.1  3.388 11.166  3.592
      N3613  1 -22.1  3.667 11.347  3.215
      N3640  1 -21.8  3.639 11.215  3.139
      N3904  1 -21.8  3.555 11.175  3.267
      N4125  1 -23.3  4.049 11.798  2.902
      N4168  1 -22.1  3.987 11.243  2.471
      N4261  1 -22.7  3.889 11.664  3.088
      N4365  1 -21.9  3.752 11.320  3.018
      N4374  1 -22.4  3.743 11.528  3.244
      N4406  1 -22.6  3.954 11.473  2.767
      N4472  1 -23.2  4.014 11.832  3.006
      N4494  1 -22.0  3.697 11.216  3.024
      N4589  1 -22.2  3.870 11.374  2.836
      N4621  1 -21.9  3.673 11.340  3.196
      N4636  1 -22.2  3.996 11.423  2.633
      N4649  1 -22.8  3.873 11.732  3.188
      N4697  1 -22.5  3.876 11.490  2.940
      N4889  1 -24.2  4.326 12.345  2.895
      N5322  1 -22.9  3.861 11.587  3.067
      N5576  1 -21.6  3.458 11.056  3.342
      N5846  1 -22.8  4.110 11.708  2.690
      N6411  1 -22.7  4.010 11.578  2.760
      N6909  1 -22.2  3.924 11.256  2.610
      N7507  1 -22.3  3.692 11.459  3.277
      N7619  1 -23.4  4.067 11.948  3.016
      N7626  1 -23.4  4.137 11.932  2.860
      N7785  1 -23.2  4.023 11.795  2.951
      I1459  1 -22.7  3.796 11.652  3.262
      I4296  1 -23.9  4.286 12.108  2.738
      N1379  1 -21.4  3.738 11.004  2.730
      N1439  1 -21.3  3.796 10.944  2.554
      N3156  1 -20.5  3.744 10.478  2.192
      N3193  1 -21.0  3.444 10.918  3.232
      N3377  1 -20.4  3.341 10.588  3.108
      N3379  1 -21.1  3.356 10.995  3.485
      N3608  1 -20.8  3.547 10.875  2.983
      N3818  1 -20.4  3.427 10.624  2.972
      N4278  1 -20.8  3.369 10.823  3.287
      N4291  1 -21.4  3.420 11.067  3.429
      N4387  1 -19.6  3.193 10.312  3.128
      N4473  1 -21.3  3.405 11.059  3.451
      N4478  1 -20.3  3.152 10.551  3.449
      N4551  1 -19.8  3.253 10.410  3.106
      N4564  1 -20.6  3.342 10.751  3.269
      N4660  1 -20.4  3.112 10.704  3.682
      N4742  1 -20.5  3.104 10.523  3.517
      N5831  1 -21.2  3.619 10.974  2.938
      N5845  1 -20.2  2.800 10.616  4.218
      N0147  1 -15.4  2.813  8.468  2.044
      N0185  1 -15.5  2.763  8.499  2.175
      N0205  1 -16.2  2.892  8.738  2.156
      N3605  1 -19.2  3.236 10.067  2.797
      N3641  1 -19.2  3.209 10.136  2.920
      N4431  1 -18.8  3.250  9.850  2.552
      N4467  1 -17.7  2.984  9.554  2.788
